ip,port,protocol,state,service,version,scan_type,is_open
10.0.23.129,5432,tcp,open,postgresql,PostgreSQL 12.5,SYN Scan,1
192.168.1.60,28845,tcp,closed,unknown,unknown,SYN Scan,0
10.0.0.9,45919,udp,closed,unknown,unknown,SYN Scan,0
172.16.22.47,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Connect Scan,1
192.168.1.216,27017,tcp,open,mongodb,MongoDB 4.4.1,ACK Scan,1
10.0.24.93,23,tcp,open,telnet,Linux telnetd,Connect Scan,1
10.0.32.235,27017,tcp,open,mongodb,MongoDB 4.4.1,Version Detection,1
172.16.6.122,53,udp,open,domain,ISC BIND 9.11,Version Detection,1
10.0.2.124,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
192.168.1.72,23,tcp,open,telnet,Cisco IOS telnetd,Connect Scan,1
172.16.23.148,60876,udp,filtered,unknown,unknown,ACK Scan,0
10.0.6.72,21,tcp,open,ftp,vsftpd 3.0.3,Connect Scan,1
172.16.29.109,21,tcp,open,ftp,ProFTPD 1.3.5,SYN Scan,1
10.0.18.2,21,tcp,open,ftp,FileZilla Server,Connect Scan,1
192.168.1.249,42395,udp,filtered,unknown,unknown,Version Detection,0
192.168.1.218,32077,udp,filtered,unknown,unknown,Version Detection,0
10.0.29.11,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,ACK Scan,1
10.0.31.114,143,tcp,open,imap,Courier imapd,SYN Scan,1
172.16.31.172,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
172.16.36.131,25289,tcp,filtered,unknown,unknown,ACK Scan,0
10.0.37.183,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,ACK Scan,1
10.0.28.81,62100,tcp,filtered,unknown,unknown,Connect Scan,0
172.16.15.98,143,tcp,open,imap,Dovecot imapd,ACK Scan,1
192.168.1.94,8080,tcp,open,http-proxy,Jetty 9.4,ACK Scan,1
10.0.11.196,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,SYN Scan,1
192.168.1.86,445,tcp,open,microsoft-ds,Microsoft Windows 10,ACK Scan,1
10.0.6.139,25,tcp,open,smtp,Postfix smtpd,SYN Scan,1
192.168.1.206,27017,tcp,open,mongodb,MongoDB 4.2.8,Connect Scan,1
10.0.24.224,80,tcp,open,http,Apache httpd 2.4.41,SYN Scan,1
192.168.1.201,43727,tcp,open,unknown,unknown,Connect Scan,1
10.0.16.129,25,tcp,open,smtp,Postfix smtpd,ACK Scan,1
172.16.21.149,45396,tcp,closed,unknown,unknown,ACK Scan,0
192.168.1.155,21,tcp,open,ftp,FileZilla Server,Version Detection,1
10.0.2.147,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Connect Scan,1
192.168.1.208,5432,tcp,open,postgresql,PostgreSQL 12.5,Version Detection,1
10.0.23.125,143,tcp,open,imap,Courier imapd,ACK Scan,1
172.16.35.164,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Connect Scan,1
10.0.16.80,110,tcp,open,pop3,Courier pop3d,ACK Scan,1
10.0.29.8,5432,tcp,open,postgresql,PostgreSQL 12.5,ACK Scan,1
192.168.1.95,445,tcp,open,microsoft-ds,Microsoft Windows 10,Version Detection,1
172.16.33.131,27017,tcp,open,mongodb,MongoDB 4.2.8,Version Detection,1
172.16.35.2,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,ACK Scan,1
192.168.1.57,3306,tcp,open,mysql,MySQL 5.7.33,ACK Scan,1
172.16.3.165,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Connect Scan,1
172.16.11.218,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Connect Scan,1
172.16.1.168,8080,tcp,open,http-proxy,Jetty 9.4,SYN Scan,1
192.168.1.222,80,tcp,open,http,Microsoft IIS 10.0,ACK Scan,1
192.168.1.77,21,tcp,open,ftp,ProFTPD 1.3.5,Version Detection,1
172.16.38.250,80,tcp,open,http,nginx 1.18.0,ACK Scan,1
10.0.1.159,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Version Detection,1
192.168.1.90,36954,tcp,closed,unknown,unknown,Connect Scan,0
192.168.1.22,80,tcp,open,http,Apache httpd 2.4.41,Connect Scan,1
10.0.1.116,21,tcp,open,ftp,FileZilla Server,SYN Scan,1
172.16.3.199,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,SYN Scan,1
172.16.1.41,53,udp,open,domain,dnsmasq 2.79,Connect Scan,1
10.0.10.180,25,tcp,open,smtp,Microsoft Exchange,ACK Scan,1
172.16.26.128,143,tcp,open,imap,Dovecot imapd,Connect Scan,1
192.168.1.250,22526,udp,filtered,unknown,unknown,Version Detection,0
172.16.24.12,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Version Detection,1
192.168.1.234,445,tcp,open,microsoft-ds,Microsoft Windows 10,Connect Scan,1
172.16.31.33,16269,udp,closed,unknown,unknown,Connect Scan,0
172.16.31.144,27017,tcp,open,mongodb,MongoDB 4.4.1,Version Detection,1
10.0.7.41,18412,udp,closed,unknown,unknown,ACK Scan,0
172.16.24.246,143,tcp,open,imap,Dovecot imapd,ACK Scan,1
172.16.10.163,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
192.168.1.42,3306,tcp,open,mysql,MySQL 5.7.33,Version Detection,1
172.16.31.188,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Connect Scan,1
10.0.6.135,28111,udp,closed,unknown,unknown,SYN Scan,0
172.16.2.219,443,tcp,open,https,Microsoft IIS 10.0,ACK Scan,1
172.16.10.47,5432,tcp,open,postgresql,PostgreSQL 12.5,Version Detection,1
172.16.30.17,49686,tcp,closed,unknown,unknown,Version Detection,0
172.16.7.215,5622,tcp,closed,unknown,unknown,ACK Scan,0
192.168.1.49,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Connect Scan,1
10.0.28.124,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,SYN Scan,1
192.168.1.91,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Version Detection,1
172.16.26.105,47113,udp,filtered,unknown,unknown,Connect Scan,0
172.16.18.26,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Connect Scan,1
172.16.19.149,445,tcp,open,microsoft-ds,Microsoft Windows 10,SYN Scan,1
10.0.27.16,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Version Detection,1
172.16.32.121,22,tcp,open,ssh,OpenSSH 7.6p1,Version Detection,1
172.16.24.173,23,tcp,open,telnet,Linux telnetd,ACK Scan,1
10.0.12.13,47410,udp,open,unknown,unknown,Connect Scan,1
10.0.21.172,135,tcp,open,msrpc,Microsoft Windows RPC,Version Detection,1
192.168.1.71,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Connect Scan,1
192.168.1.79,22,tcp,open,ssh,OpenSSH 7.6p1,ACK Scan,1
10.0.14.119,3306,tcp,open,mysql,MySQL 5.7.33,SYN Scan,1
192.168.1.192,143,tcp,open,imap,Dovecot imapd,ACK Scan,1
192.168.1.220,443,tcp,open,https,Microsoft IIS 10.0,ACK Scan,1
192.168.1.51,23,tcp,open,telnet,Linux telnetd,Version Detection,1
192.168.1.241,31553,udp,closed,unknown,unknown,Version Detection,0
172.16.1.218,25,tcp,open,smtp,Exim smtpd,ACK Scan,1
10.0.27.167,21,tcp,open,ftp,vsftpd 3.0.3,SYN Scan,1
10.0.26.136,80,tcp,open,http,nginx 1.18.0,ACK Scan,1
172.16.38.14,27017,tcp,open,mongodb,MongoDB 4.2.8,Connect Scan,1
192.168.1.160,445,tcp,open,microsoft-ds,Microsoft Windows 10,Connect Scan,1
10.0.28.86,3306,tcp,open,mysql,MySQL 5.7.33,SYN Scan,1
172.16.30.148,23,tcp,open,telnet,Cisco IOS telnetd,ACK Scan,1
172.16.16.139,18024,udp,closed,unknown,unknown,Connect Scan,0
192.168.1.252,25,tcp,open,smtp,Postfix smtpd,Version Detection,1
10.0.38.131,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,SYN Scan,1
172.16.37.1,8080,tcp,open,http-proxy,Jetty 9.4,Connect Scan,1
172.16.24.79,135,tcp,open,msrpc,Microsoft Windows RPC,SYN Scan,1
192.168.1.240,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Connect Scan,1
192.168.1.37,23,tcp,open,telnet,Cisco IOS telnetd,Version Detection,1
192.168.1.139,21,tcp,open,ftp,ProFTPD 1.3.5,ACK Scan,1
192.168.1.115,7756,tcp,closed,unknown,unknown,SYN Scan,0
10.0.28.188,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Connect Scan,1
192.168.1.3,5432,tcp,open,postgresql,PostgreSQL 12.5,SYN Scan,1
172.16.16.76,24548,udp,closed,unknown,unknown,Connect Scan,0
172.16.22.163,3306,tcp,open,mysql,MySQL 5.7.33,Version Detection,1
172.16.6.182,8080,tcp,open,http-proxy,Tomcat 9.0,ACK Scan,1
10.0.26.37,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,ACK Scan,1
192.168.1.163,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Version Detection,1
10.0.17.198,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Connect Scan,1
10.0.4.250,110,tcp,open,pop3,Dovecot pop3d,Connect Scan,1
10.0.28.136,23,tcp,open,telnet,Cisco IOS telnetd,Connect Scan,1
172.16.31.245,22,tcp,open,ssh,OpenSSH 7.6p1,ACK Scan,1
192.168.1.181,143,tcp,open,imap,Courier imapd,Connect Scan,1
192.168.1.165,25,tcp,open,smtp,Microsoft Exchange,ACK Scan,1
192.168.1.3,4251,tcp,closed,unknown,unknown,Connect Scan,0
10.0.4.28,27017,tcp,open,mongodb,MongoDB 4.2.8,Connect Scan,1
192.168.1.96,23,tcp,open,telnet,Cisco IOS telnetd,SYN Scan,1
172.16.38.50,3306,tcp,open,mysql,MySQL 5.7.33,Version Detection,1
192.168.1.22,27017,tcp,open,mongodb,MongoDB 4.2.8,ACK Scan,1
172.16.31.43,21,tcp,open,ftp,FileZilla Server,Version Detection,1
10.0.38.45,3969,tcp,closed,unknown,unknown,Version Detection,0
10.0.37.53,110,tcp,open,pop3,Dovecot pop3d,Version Detection,1
192.168.1.114,39163,udp,closed,unknown,unknown,ACK Scan,0
10.0.25.43,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,SYN Scan,1
10.0.33.210,21,tcp,open,ftp,vsftpd 3.0.3,Version Detection,1
192.168.1.119,445,tcp,open,microsoft-ds,Microsoft Windows 10,ACK Scan,1
10.0.14.245,25,tcp,open,smtp,Postfix smtpd,Version Detection,1
172.16.24.219,135,tcp,open,msrpc,Microsoft Windows RPC,Connect Scan,1
192.168.1.122,5432,tcp,open,postgresql,PostgreSQL 12.5,ACK Scan,1
192.168.1.188,135,tcp,open,msrpc,Microsoft Windows RPC,Connect Scan,1
192.168.1.37,80,tcp,open,http,Microsoft IIS 10.0,Version Detection,1
10.0.24.116,135,tcp,open,msrpc,Microsoft Windows RPC,Version Detection,1
10.0.28.169,80,tcp,open,http,nginx 1.18.0,Connect Scan,1
172.16.18.172,80,tcp,open,http,nginx 1.18.0,Connect Scan,1
172.16.9.87,36964,udp,filtered,unknown,unknown,SYN Scan,0
172.16.9.167,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,Version Detection,1
192.168.1.183,53,udp,open,domain,dnsmasq 2.79,Version Detection,1
172.16.17.85,23,tcp,open,telnet,Linux telnetd,ACK Scan,1
172.16.22.13,5432,tcp,open,postgresql,PostgreSQL 13.1,Version Detection,1
172.16.4.85,445,tcp,open,microsoft-ds,Microsoft Windows 10,Version Detection,1
10.0.7.248,37512,udp,filtered,unknown,unknown,SYN Scan,0
192.168.1.177,25,tcp,open,smtp,Exim smtpd,ACK Scan,1
10.0.34.176,135,tcp,open,msrpc,Microsoft Windows RPC,Version Detection,1
172.16.19.175,110,tcp,open,pop3,Courier pop3d,Version Detection,1
10.0.19.51,21,tcp,open,ftp,vsftpd 3.0.3,Connect Scan,1
172.16.25.136,143,tcp,open,imap,Courier imapd,SYN Scan,1
192.168.1.74,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,ACK Scan,1
192.168.1.174,27017,tcp,open,mongodb,MongoDB 4.4.1,SYN Scan,1
192.168.1.235,3306,tcp,open,mysql,MariaDB 10.3,ACK Scan,1
172.16.21.193,23,tcp,open,telnet,Cisco IOS telnetd,Version Detection,1
10.0.32.239,25,tcp,open,smtp,Microsoft Exchange,ACK Scan,1
172.16.20.243,8080,tcp,open,http-proxy,Jetty 9.4,ACK Scan,1
172.16.21.173,2814,tcp,filtered,unknown,unknown,SYN Scan,0
192.168.1.219,47616,tcp,closed,unknown,unknown,Version Detection,0
192.168.1.44,22,tcp,open,ssh,OpenSSH 8.2p1,ACK Scan,1
192.168.1.245,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,Connect Scan,1
172.16.33.242,8080,tcp,open,http-proxy,Tomcat 9.0,Connect Scan,1
10.0.30.34,21,tcp,open,ftp,ProFTPD 1.3.5,SYN Scan,1
10.0.35.233,3306,tcp,open,mysql,MySQL 5.7.33,SYN Scan,1
10.0.9.199,44336,tcp,closed,unknown,unknown,ACK Scan,0
172.16.19.118,8080,tcp,open,http-proxy,Jetty 9.4,SYN Scan,1
192.168.1.178,8080,tcp,open,http-proxy,Tomcat 9.0,SYN Scan,1
172.16.20.226,60677,tcp,filtered,unknown,unknown,ACK Scan,0
172.16.34.225,8080,tcp,open,http-proxy,Jetty 9.4,Version Detection,1
10.0.24.91,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Version Detection,1
10.0.38.79,2552,tcp,filtered,unknown,unknown,SYN Scan,0
172.16.14.79,143,tcp,open,imap,Courier imapd,SYN Scan,1
172.16.7.106,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,ACK Scan,1
172.16.15.64,445,tcp,open,microsoft-ds,Microsoft Windows 10,SYN Scan,1
10.0.33.107,80,tcp,open,http,Microsoft IIS 10.0,ACK Scan,1
10.0.4.191,7923,udp,closed,unknown,unknown,Version Detection,0
172.16.33.122,5432,tcp,open,postgresql,PostgreSQL 12.5,Connect Scan,1
192.168.1.20,23913,tcp,closed,unknown,unknown,ACK Scan,0
192.168.1.124,57838,tcp,filtered,unknown,unknown,Connect Scan,0
192.168.1.151,8080,tcp,open,http-proxy,Tomcat 9.0,ACK Scan,1
192.168.1.17,22,tcp,open,ssh,Dropbear sshd,Version Detection,1
172.16.23.72,53,udp,open,domain,ISC BIND 9.11,ACK Scan,1
172.16.36.28,443,tcp,open,https,nginx 1.18.0,ACK Scan,1
172.16.24.20,445,tcp,open,microsoft-ds,Microsoft Windows 10,Connect Scan,1
